Order Date,Region,Category,Quantity,Sales,Profit
2022-11-16,West,Office Supplies,14,696.29,-1.49
2024-05-20,South,Office Supplies,14,1662.24,-451.91
2022-11-22,West,Office Supplies,2,1766.34,-311.12
2023-08-22,Central,Technology,3,1450.3,292.81
2024-06-01,Central,Office Supplies,8,31.64,370.71
2024-02-14,South,Office Supplies,5,227.99,4.53
2023-02-21,East,Technology,5,1040.24,-403.26
2024-05-06,West,Technology,13,777.58,236.38
2022-10-25,West,Furniture,20,685.85,-256.13
2024-10-02,Central,Furniture,2,1873.49,-119.29
2024-07-31,West,Technology,2,564.63,320.7
2024-10-13,South,Furniture,13,167.9,424.52
2022-09-25,South,Office Supplies,10,1058.4,-351.01
2022-05-19,West,Furniture,8,110.54,253.91
2022-12-05,East,Office Supplies,4,1019.69,-393.75
2023-06-06,Central,Office Supplies,11,38.3,225.71
2022-04-22,South,Furniture,4,513.34,-347.68
2024-11-10,South,Technology,17,1262.7,-64.36
2024-05-13,East,Office Supplies,15,1965.37,-496.41
2025-01-07,South,Furniture,15,1687.87,-436.66
2025-02-07,East,Furniture,1,1433.69,-168.39
2025-02-09,East,Technology,7,464.79,-418.82
2023-12-11,Central,Furniture,2,246.87,352.18
2025-01-12,South,Technology,1,558.42,-120.2
2023-02-11,East,Technology,5,1487.31,324.93
2023-07-15,Central,Office Supplies,8,1761.21,337.54
2024-01-29,South,Technology,14,737.51,412.81
2023-10-08,West,Office Supplies,5,469.6,-420.64
2023-03-10,West,Furniture,5,214.2,-57.34
2022-12-09,West,Office Supplies,1,594.14,-417.99
2023-05-07,West,Technology,8,1477.6,154.57
2023-11-04,West,Office Supplies,5,862.66,-246.97
2022-11-27,East,Office Supplies,20,1264.71,-110.52
2022-05-28,Central,Technology,12,1804.54,149.99
2023-01-28,South,Technology,9,1388.69,13.5
2024-12-03,East,Technology,19,1679.71,200.96
2024-12-11,East,Office Supplies,18,723.47,-496.45
2022-10-25,South,Technology,20,425.89,90.61
2024-02-05,West,Office Supplies,16,1118.95,151.05
2023-12-28,East,Furniture,12,1484.2,462.13
2022-06-18,Central,Office Supplies,20,363.84,237.25
2024-07-06,Central,Office Supplies,18,463.28,224.17
2022-04-21,East,Furniture,20,1588.9,-303.49
2025-03-03,Central,Furniture,17,1061.26,472.93
2022-08-15,South,Technology,6,459.27,-19.63
2022-08-20,West,Technology,19,269.62,-149.24
2022-09-15,East,Office Supplies,16,512.99,144.21
2025-01-23,West,Technology,3,968.05,-234.9
2024-01-10,Central,Technology,13,1430.5,-354.99
2025-04-14,East,Furniture,7,799.13,114.45
2022-07-04,South,Furniture,9,1458.93,31.05
2022-10-27,East,Furniture,15,781.74,398.79
2023-11-02,Central,Furniture,8,1832.16,-460.45
2024-08-18,East,Technology,4,869.61,412.64
2022-11-28,Central,Technology,16,113.78,483.37
2024-05-16,East,Furniture,2,1629.22,320.31
2024-02-07,Central,Office Supplies,13,1468.04,12.98
2023-08-30,East,Furniture,17,1631.99,-246.63
2023-03-26,West,Office Supplies,1,824.63,-118.0
2023-01-20,East,Furniture,13,50.33,166.41
2024-01-06,East,Technology,6,1163.17,-498.05
2023-09-30,West,Technology,5,433.0,298.42
2023-04-07,East,Office Supplies,8,205.73,130.48
2023-12-30,East,Technology,4,1015.9,-321.33
2025-01-26,South,Furniture,11,357.79,-336.49
2025-03-17,South,Office Supplies,1,1826.74,-337.6
2022-08-13,West,Furniture,9,1756.67,-112.48
2024-10-13,East,Technology,7,411.12,83.09
2022-09-25,Central,Office Supplies,5,756.07,350.6
2024-02-05,South,Technology,14,1031.48,-102.34
2022-05-19,South,Office Supplies,19,1409.92,-380.53
2024-04-30,South,Furniture,2,199.39,82.61
2024-10-30,South,Furniture,9,1233.65,-175.54
2024-03-14,Central,Furniture,6,266.95,-270.37
2022-12-19,Central,Technology,20,185.07,-345.73
2022-08-08,West,Technology,15,392.71,-411.97
2023-01-05,East,Furniture,13,1531.83,-346.31
2024-11-01,Central,Furniture,1,48.15,-431.0
2024-01-04,East,Technology,20,386.66,151.07
2024-05-06,East,Furniture,2,73.92,363.96
2022-11-29,Central,Office Supplies,10,114.79,-477.15
2024-07-04,Central,Office Supplies,17,1727.44,-106.02
2025-03-03,Central,Technology,5,1021.83,-466.99
2023-07-30,South,Technology,10,936.85,291.15
2024-03-19,South,Technology,20,1646.44,40.27
2022-08-20,East,Technology,10,1358.7,76.05
2024-01-10,Central,Technology,8,727.1,98.1
2023-10-26,South,Furniture,17,1712.77,-81.6
2022-06-19,East,Office Supplies,14,1892.44,186.51
2024-07-19,Central,Furniture,3,1054.74,161.35
2025-01-21,East,Furniture,8,690.72,467.19
2022-05-04,West,Technology,14,1965.76,465.0
2024-04-05,West,Technology,11,1323.24,299.08
2023-11-29,Central,Office Supplies,9,1769.67,315.85
2024-07-27,Central,Technology,19,1355.3,54.94
2024-08-31,South,Furniture,12,1549.46,-100.72
2023-09-28,Central,Office Supplies,11,46.66,321.59
2025-01-12,East,Furniture,6,965.23,-45.52
2024-04-13,Central,Furniture,10,996.62,-313.97
2024-10-07,South,Office Supplies,13,1638.47,311.09
2023-07-25,West,Technology,15,405.16,400.77
2023-12-26,West,Technology,17,154.21,-128.45
2022-11-25,Central,Technology,5,403.23,479.02
2023-09-16,South,Office Supplies,16,1213.14,-216.28
2022-06-08,Central,Technology,6,469.45,-5.9
2024-02-13,West,Technology,8,1573.96,396.26
2023-11-08,South,Office Supplies,14,679.28,152.32
2023-10-09,South,Office Supplies,15,758.22,452.13
2022-12-13,Central,Furniture,12,1672.37,-181.75
2022-12-22,East,Office Supplies,3,1090.23,-126.38
2023-08-28,West,Office Supplies,15,1152.47,-300.01
2024-04-02,East,Furniture,8,1765.76,294.1
2023-07-21,South,Technology,16,1788.57,280.86
2022-08-08,South,Technology,1,767.11,203.74
2024-08-06,East,Furniture,10,1755.47,329.26
2023-02-01,South,Technology,18,184.35,-299.92
2024-03-17,West,Technology,18,1103.28,262.57
2025-02-23,Central,Office Supplies,14,1732.36,-482.82
2024-04-01,South,Furniture,2,1095.62,24.77
2022-12-16,South,Office Supplies,19,1030.09,225.91
2024-10-03,Central,Technology,14,1594.87,231.31
2024-11-12,Central,Technology,14,1090.08,-461.65
2022-10-04,West,Technology,8,1042.0,423.88
2025-03-10,East,Furniture,4,1900.36,-112.28
2023-07-12,East,Furniture,9,1259.89,342.83
2022-07-12,South,Technology,15,1220.61,-454.35
2022-10-13,South,Technology,17,1227.92,-197.6
2024-01-08,West,Office Supplies,13,113.69,72.82
2022-12-28,West,Office Supplies,1,827.1,-19.9
2024-07-03,West,Technology,18,738.56,-291.42
2025-02-19,West,Office Supplies,12,190.24,6.93
2024-05-08,East,Technology,1,410.53,-241.84
2022-08-22,South,Furniture,19,927.68,31.07
2023-10-04,South,Office Supplies,19,137.47,276.69
2024-01-08,Central,Technology,17,1256.31,330.51
2023-05-02,South,Furniture,19,943.37,111.99
2022-07-15,East,Furniture,2,1062.9,-40.49
2023-09-10,Central,Office Supplies,12,540.75,59.44
2024-12-30,South,Furniture,11,1538.99,-131.97
2022-08-23,West,Furniture,12,1598.43,-382.9
2023-12-27,East,Furniture,17,33.38,67.01
2024-06-13,East,Furniture,2,1935.74,-102.51
2024-07-07,East,Office Supplies,19,671.96,-277.62
2023-03-30,Central,Technology,4,859.11,131.93
2023-10-03,East,Furniture,18,601.7,-477.15
2023-11-16,South,Office Supplies,20,1470.01,-428.92
2024-05-13,West,Technology,17,1888.8,-318.79
2024-08-04,West,Furniture,7,197.69,-471.23
2023-09-08,Central,Furniture,12,1866.16,-307.94
2023-02-03,South,Office Supplies,18,1816.84,363.39
2024-08-23,East,Office Supplies,18,1188.82,-432.65
2023-06-23,Central,Furniture,6,1547.97,4.49
2024-01-15,East,Office Supplies,18,1990.37,300.87
2023-09-22,West,Technology,1,40.12,317.27
2025-02-03,East,Office Supplies,10,1487.71,82.58
2023-04-29,South,Technology,8,952.04,-197.51
2025-01-11,South,Technology,15,1232.0,307.43
2023-11-19,East,Furniture,14,858.12,54.23
2023-11-19,Central,Technology,1,682.73,410.02
2025-04-10,South,Technology,8,1379.74,-38.8
2024-09-30,East,Furniture,13,1208.31,-405.65
2024-12-29,West,Office Supplies,16,1095.93,-152.79
2022-12-13,West,Office Supplies,19,876.06,-275.57
2025-01-26,East,Technology,14,549.91,-442.88
2024-07-17,Central,Technology,11,1020.29,-222.25
2025-02-08,Central,Office Supplies,7,389.45,202.44
2023-11-27,East,Furniture,20,1056.06,-165.6
2022-11-02,East,Office Supplies,7,614.5,377.48
2023-11-27,South,Office Supplies,6,914.66,266.42
2024-11-26,South,Office Supplies,3,456.44,-144.59
2022-07-15,East,Office Supplies,1,1828.2,209.85
2024-11-06,South,Office Supplies,20,1753.75,-441.9
2024-07-24,East,Technology,3,1178.97,404.9
2022-09-17,East,Furniture,2,529.07,103.26
2022-05-21,South,Technology,15,1584.43,255.99
2023-05-07,West,Technology,2,953.08,-61.17
2023-09-18,East,Technology,8,148.01,434.9
2023-08-09,Central,Technology,11,693.25,-39.46
2022-08-07,West,Technology,4,135.07,227.74
2023-10-01,Central,Office Supplies,6,659.99,-297.0
2024-06-14,West,Office Supplies,15,260.03,124.74
2024-03-14,East,Furniture,15,976.31,5.17
2023-07-26,East,Furniture,11,1781.82,-300.0
2022-05-10,South,Technology,16,848.3,-51.56
2022-09-25,South,Technology,6,1004.69,1.73
2024-12-08,South,Office Supplies,17,231.33,-389.04
2024-02-02,West,Technology,12,334.91,-217.92
2024-07-07,East,Technology,19,912.13,-189.87
2024-10-04,Central,Office Supplies,14,1229.77,65.25
2022-04-22,East,Office Supplies,6,1927.38,278.81
2024-03-11,East,Technology,10,812.35,25.79
2023-12-21,South,Office Supplies,19,1441.15,319.16
2022-06-06,Central,Furniture,9,1143.35,-433.12
2022-09-17,Central,Technology,19,1286.78,220.88
2024-06-22,West,Office Supplies,11,281.39,-492.4
2025-02-14,West,Furniture,19,1340.93,-255.24
2023-11-28,Central,Office Supplies,9,1332.28,418.03
2023-04-17,South,Technology,7,1976.95,344.44
2023-09-28,East,Technology,1,300.37,-320.17
2025-02-26,Central,Furniture,8,705.0,19.25
2022-05-07,Central,Furniture,15,119.59,-301.54
2023-01-10,East,Technology,15,1411.9,-427.37
2024-07-02,West,Furniture,10,593.16,51.9
2024-03-23,East,Furniture,11,812.49,124.6
2023-04-10,West,Office Supplies,3,449.9,-497.16
2024-03-26,Central,Technology,19,1723.65,-68.27
2022-12-24,South,Office Supplies,7,442.93,134.11
2022-07-08,West,Office Supplies,20,300.04,-22.4
2022-04-20,Central,Furniture,10,1810.64,-459.37
2024-04-02,South,Technology,15,107.43,447.86
2023-07-15,Central,Office Supplies,18,657.32,-475.79
2025-02-23,West,Furniture,9,1905.35,-313.13
2024-11-30,West,Furniture,3,406.48,-178.31
2022-11-25,South,Technology,13,30.91,103.68
2024-03-16,Central,Furniture,9,782.46,-473.35
2024-05-16,South,Furniture,6,174.73,498.68
2022-05-28,Central,Office Supplies,17,1501.24,-387.99
2024-01-06,South,Furniture,1,610.73,-221.6
2023-03-06,West,Technology,8,533.74,321.28
2024-08-30,Central,Furniture,10,439.08,-410.16
2023-08-20,East,Office Supplies,20,1532.61,-72.99
2022-08-21,Central,Furniture,13,484.81,27.17
2023-01-08,South,Technology,8,210.41,259.18
2023-05-28,Central,Office Supplies,11,490.53,394.99
2024-09-12,West,Technology,9,1125.84,429.54
2023-09-19,East,Technology,12,1431.48,-126.81
2024-04-04,West,Furniture,3,1847.52,-416.27
2022-08-13,East,Furniture,12,1196.77,302.55
2024-03-15,West,Technology,11,413.76,-77.49
2023-05-25,Central,Technology,6,1093.33,258.41
2022-09-09,South,Technology,9,1662.64,450.18
2022-11-24,East,Furniture,18,1093.89,270.07
2023-04-16,East,Technology,18,32.95,51.64
2025-01-21,South,Office Supplies,13,1586.18,130.13
2024-05-12,Central,Technology,6,573.75,-168.26
2023-06-30,Central,Technology,8,762.03,283.91
2024-04-06,West,Office Supplies,7,1008.94,-180.48
2024-01-21,West,Office Supplies,10,908.0,426.54
2023-05-22,West,Office Supplies,10,255.83,-435.14
2022-05-19,West,Technology,10,246.56,342.13
2022-08-15,South,Technology,4,551.12,202.38
2024-07-14,West,Furniture,18,601.18,276.09
2024-12-21,South,Office Supplies,19,1162.23,-31.61
2024-01-09,Central,Technology,11,277.29,-93.94
2024-06-07,Central,Technology,10,225.57,144.01
2022-10-12,Central,Technology,5,17.43,176.96
2022-09-24,West,Furniture,16,1342.3,-248.98
2023-01-15,South,Office Supplies,1,1856.95,449.99
2025-03-14,Central,Furniture,19,44.8,-298.57
2024-06-23,East,Office Supplies,4,1950.63,390.77
2023-02-14,East,Furniture,17,1821.28,-146.33
2024-04-05,Central,Furniture,13,181.84,485.92
2022-07-14,West,Technology,8,198.13,382.65
2022-06-08,West,Furniture,16,696.85,342.0
2025-02-13,East,Office Supplies,20,444.98,-6.03
2024-04-08,Central,Office Supplies,19,1752.86,-401.48
2024-08-04,East,Technology,15,659.62,-350.2
2024-01-05,South,Technology,2,1680.87,163.4
2023-05-18,South,Furniture,16,1167.89,-272.79
2022-11-18,West,Office Supplies,6,565.57,243.66
2023-01-12,West,Furniture,9,1350.34,355.52
2022-08-04,Central,Technology,16,1899.25,-452.48
2022-08-31,Central,Office Supplies,13,345.98,-82.28
2024-12-22,Central,Furniture,9,1077.9,-74.34
2022-11-28,Central,Furniture,17,647.62,-399.13
2024-12-13,Central,Technology,19,1807.29,180.78
2023-04-13,South,Office Supplies,10,1954.45,-392.3
2023-10-15,West,Furniture,6,537.99,-49.78
2025-03-11,South,Technology,10,144.06,49.76
2024-07-23,South,Office Supplies,11,1419.87,379.56
2023-07-26,South,Office Supplies,15,195.35,-401.13
2023-11-01,East,Furniture,2,1059.86,-444.73
2024-02-17,West,Office Supplies,10,108.89,43.67
2024-05-11,East,Technology,11,197.43,-421.83
2024-01-27,Central,Office Supplies,16,1339.57,165.14
2024-12-06,Central,Furniture,6,654.93,97.28
2022-08-20,Central,Technology,6,1963.79,-193.93
2025-01-09,East,Technology,11,1972.15,-235.0
2024-03-10,Central,Technology,3,13.54,-259.9
2022-10-15,Central,Office Supplies,4,1356.14,-427.98
2022-10-02,East,Technology,20,469.23,264.41
2022-07-06,East,Technology,17,1422.06,227.11
2024-05-29,South,Furniture,5,750.77,-3.1
2022-09-10,Central,Office Supplies,2,1094.76,-363.76
2024-04-14,Central,Furniture,3,956.75,130.88
2024-10-21,South,Technology,12,1026.84,48.73
2025-02-22,South,Technology,7,222.72,-497.25
2023-02-16,West,Furniture,19,1876.12,242.07
2024-10-21,East,Furniture,9,1110.1,-398.53
2023-04-26,Central,Office Supplies,9,1423.04,288.18
2023-08-18,Central,Office Supplies,17,1289.53,214.31
2022-06-10,South,Office Supplies,13,869.31,-473.54
2023-05-29,South,Technology,18,287.65,-484.68
2023-06-15,West,Furniture,14,903.17,-258.37
2023-03-01,West,Technology,13,395.34,158.4
2023-07-21,South,Technology,11,513.17,227.71
2024-09-15,East,Technology,1,464.63,262.9
2022-11-16,South,Furniture,2,807.51,46.94
2022-10-05,Central,Office Supplies,16,1901.23,-11.77
2025-04-01,East,Furniture,18,1337.24,-48.55
2024-09-26,Central,Technology,16,1220.43,-136.07
2023-06-30,South,Office Supplies,6,847.24,196.57
2024-05-26,West,Technology,10,1974.73,-178.36
2024-06-12,West,Technology,16,629.29,-59.59
2023-12-14,East,Furniture,12,1693.19,-46.96
2022-09-16,Central,Office Supplies,11,1339.72,491.62
2025-03-11,Central,Furniture,4,1740.48,-98.73
2024-04-22,South,Technology,20,325.4,-293.27
2025-01-27,Central,Technology,19,404.76,468.79
2022-09-26,South,Technology,10,672.78,332.48
2022-10-15,West,Furniture,18,586.4,365.6
2025-03-03,West,Furniture,15,590.67,422.01
2022-11-30,West,Office Supplies,1,1861.97,475.14
2024-05-28,West,Furniture,12,447.91,-13.69
2024-11-20,East,Office Supplies,8,1792.98,-425.38
2024-10-11,South,Technology,8,268.99,324.08
2024-04-25,East,Furniture,15,1757.13,-363.15
2023-04-02,Central,Technology,5,756.43,-250.66
2024-08-27,South,Technology,3,364.31,-453.69
2022-08-11,Central,Furniture,13,327.62,-187.58
2022-06-17,East,Technology,5,1855.06,-476.74
2024-12-21,Central,Technology,13,1783.03,-0.31
2022-09-13,West,Technology,10,1734.49,-96.17
2025-01-27,East,Office Supplies,6,1895.54,276.72
2024-07-22,East,Technology,13,426.56,410.47
2022-08-15,South,Technology,17,245.56,-222.68
2023-11-15,West,Technology,14,248.85,-246.22
2023-08-06,East,Technology,14,702.46,307.03
2025-02-10,South,Furniture,3,1048.45,-221.45
2024-03-19,South,Office Supplies,3,1513.36,188.09
2024-10-02,South,Furniture,11,10.54,-319.25
2023-09-19,West,Office Supplies,2,354.54,325.89
2023-07-10,Central,Furniture,12,774.96,-330.57
2023-01-24,South,Office Supplies,7,954.56,-81.7
2022-07-13,West,Office Supplies,7,788.3,-497.61
2024-10-14,East,Furniture,1,1492.92,5.42
2023-02-16,Central,Technology,10,313.39,143.21
2024-12-07,South,Technology,19,1961.51,-9.39
2022-11-01,East,Office Supplies,8,233.07,82.74
2024-08-12,Central,Furniture,12,1801.05,129.12
2023-06-18,West,Technology,18,1581.47,337.95
2022-07-29,Central,Technology,4,982.83,-199.7
2022-07-15,West,Technology,16,243.33,290.12
2022-06-21,West,Technology,12,574.14,327.03
2023-11-24,West,Furniture,14,148.97,-409.64
2024-04-07,East,Technology,19,1608.32,-125.79
2023-06-11,West,Technology,3,525.16,-468.29
2023-12-12,Central,Office Supplies,13,1122.9,132.21
2024-10-29,South,Furniture,20,1819.94,353.46
2023-03-29,West,Furniture,19,1477.21,-393.65
2023-04-02,West,Furniture,20,140.14,25.18
2024-02-17,Central,Office Supplies,15,1426.47,-264.59
2022-12-25,East,Office Supplies,12,1261.17,201.02
2023-08-04,East,Office Supplies,5,403.81,2.12
2024-03-04,South,Office Supplies,10,1997.25,-495.56
2024-10-15,South,Technology,16,1238.8,-237.63
2024-02-07,East,Furniture,11,1712.63,-495.85
2023-05-28,East,Furniture,13,493.86,-302.24
2024-05-22,South,Furniture,16,1518.84,-23.35
2024-07-30,South,Office Supplies,20,1991.57,-87.98
2023-04-20,East,Technology,5,1221.21,461.11
2024-04-03,Central,Technology,5,1509.25,-154.99
2023-05-16,West,Office Supplies,20,199.69,-127.89
2024-08-19,East,Technology,18,1690.36,228.01
2024-05-31,East,Office Supplies,9,326.93,258.58
2023-02-17,East,Technology,4,818.54,-9.6
2023-09-09,West,Furniture,5,399.04,384.25
2025-02-07,Central,Office Supplies,9,859.02,60.47
2023-12-30,South,Technology,18,97.26,-3.59
2023-02-09,Central,Technology,1,229.44,193.62
2023-06-12,South,Technology,7,336.91,-252.39
2024-07-17,Central,Furniture,15,959.07,202.43
2024-09-16,East,Furniture,3,184.65,268.82
2024-09-29,South,Furniture,4,1114.53,-98.04
2023-06-10,East,Furniture,3,881.77,-474.56
2023-01-28,East,Office Supplies,3,371.31,319.09
2023-02-04,West,Technology,19,87.06,-430.98
2025-03-13,Central,Furniture,2,687.53,-448.94
2024-11-12,West,Furniture,15,1859.21,186.55
2022-06-12,Central,Technology,19,663.12,397.92
2024-03-11,South,Furniture,20,1060.84,125.61
2023-11-30,South,Furniture,15,907.61,119.86
2024-02-06,East,Office Supplies,6,893.54,-100.71
2024-07-01,Central,Technology,18,184.12,300.4
2023-03-08,West,Furniture,15,1658.51,-94.08
2024-07-17,East,Office Supplies,5,991.91,475.19
2022-10-02,Central,Office Supplies,9,207.76,-436.26
2023-10-31,Central,Technology,16,761.05,-108.57
2023-04-10,West,Furniture,11,1929.7,323.84
2024-01-05,East,Office Supplies,7,1019.61,-399.63
2024-04-09,West,Office Supplies,11,162.2,-368.58
2023-11-10,South,Office Supplies,14,1260.37,-309.12
2023-11-05,East,Office Supplies,13,1401.26,327.71
2024-02-01,East,Technology,14,303.67,299.99
2023-12-08,East,Technology,10,1898.88,89.59
2022-09-19,Central,Furniture,2,1317.24,321.59
2024-09-30,South,Technology,16,569.52,-157.71
2024-08-08,West,Technology,16,210.58,-158.85
2024-10-18,West,Office Supplies,8,1072.28,-125.92
2025-02-13,West,Furniture,1,231.24,90.82
2024-04-24,Central,Furniture,2,1436.2,141.38
2025-01-15,Central,Technology,15,618.17,-325.33
2025-02-05,East,Furniture,8,500.71,202.38
2022-10-02,South,Furniture,3,278.43,1.84
2025-03-11,West,Technology,1,377.66,-74.57
2023-06-07,Central,Office Supplies,17,1821.68,392.34
2022-08-08,West,Furniture,11,221.08,-275.77
2024-07-23,Central,Furniture,15,1532.15,133.89
2022-08-30,South,Furniture,7,1356.4,-421.84
2022-12-04,Central,Technology,8,1539.39,210.78
2023-02-02,West,Office Supplies,4,905.9,292.33
2024-03-06,West,Furniture,2,1805.92,86.78
2023-11-01,West,Office Supplies,5,1528.46,-331.35
2023-05-01,East,Furniture,14,1769.06,-95.02
2023-07-20,Central,Furniture,19,449.13,253.1
2024-02-10,West,Technology,15,165.62,-89.84
2023-05-14,Central,Office Supplies,4,796.02,334.14
2022-08-02,East,Furniture,7,792.83,124.81
2022-08-24,East,Furniture,10,381.47,-171.09
2023-10-11,East,Office Supplies,17,1229.22,-340.65
2022-12-19,South,Office Supplies,14,401.89,162.38
2024-10-30,Central,Office Supplies,9,1110.92,-352.86
2024-06-05,South,Office Supplies,8,803.87,154.52
2023-11-14,West,Technology,17,348.35,-12.61
2024-05-15,South,Furniture,19,879.28,304.15
2022-09-11,West,Office Supplies,6,145.78,42.63
2022-11-11,West,Furniture,10,376.53,-81.7
2023-04-22,West,Furniture,18,153.69,314.36
2023-09-19,South,Technology,7,420.99,423.37
2022-07-24,Central,Office Supplies,8,1426.44,-63.02
2023-09-02,East,Office Supplies,20,1437.12,-390.69
2023-11-20,Central,Furniture,4,1616.79,404.63
2023-03-02,Central,Technology,18,1512.17,-493.42
2024-05-03,South,Furniture,11,361.03,-34.09
2022-06-02,South,Furniture,5,1442.5,-420.72
2024-05-09,West,Furniture,16,84.2,273.2
2023-11-02,Central,Office Supplies,19,1450.47,-0.25
2022-12-19,Central,Office Supplies,6,439.73,8.56
2023-11-10,Central,Office Supplies,3,1702.38,170.37
2022-06-06,East,Furniture,1,541.46,230.85
2022-10-13,West,Furniture,12,565.91,415.95
2024-10-14,East,Technology,12,204.36,440.12
2022-06-18,West,Furniture,12,1136.92,-111.53
2023-07-23,South,Office Supplies,3,993.44,295.97
2024-08-07,South,Furniture,10,497.74,177.57
2022-07-12,East,Office Supplies,6,1757.7,379.82
2025-03-25,Central,Furniture,2,1916.98,-483.62
2022-09-01,East,Furniture,8,1166.16,166.8
2023-05-22,East,Furniture,3,1224.28,-208.21
2024-11-03,East,Office Supplies,3,1367.99,477.31
2022-11-29,East,Furniture,11,1269.52,-377.57
2023-09-03,South,Office Supplies,6,672.02,226.04
2024-11-04,South,Furniture,5,1592.24,221.51
2023-02-14,South,Furniture,2,1425.07,-474.9
2023-03-20,East,Furniture,15,541.28,304.83
2024-05-05,West,Furniture,6,1879.73,-220.98
2023-07-21,West,Office Supplies,6,240.11,-160.64
2023-12-06,South,Office Supplies,7,1391.41,275.42
2024-12-18,West,Technology,6,79.34,-149.68
2023-09-02,Central,Technology,4,1442.04,-105.85
2022-08-01,South,Office Supplies,7,1903.62,309.33
2022-08-06,Central,Furniture,4,1676.54,198.39
2024-09-17,Central,Furniture,20,1190.56,189.02
